year,school,course_name,course_code,poly_course_code,course_description,reference
2022,School of Engineering,Common Engineering Programme,T56,E1C,"Gives you time to find out your interests before choosing 1 out of 7 courses, including our highly popular diplomas, in semester 1 or 2.  Ultimately, you will graduate with the same diploma within 3 years.",https://www.tp.edu.sg/schools/eng/common-engineering-programme
2022,School of Engineering,Diploma in Electronics,T65,E0E,Equips you with knowledge of electronic circuits and systems to enable you  to develop and manage high-tech automated systems and advanced manufacturing processes amidst today's digital transformation. ,https://www.tp.edu.sg/schools/eng/electronics
2022,School of Engineering,Diploma in Mechatronics,T66,E0M,"Trains you to integrate mechanical engineering with electronics to come up with intelligent systems used in engineering applications such as robotics, automation, smart manufacturing and even aerospace systems.",https://www.tp.edu.sg/schools/eng/mechatronics
2022,School of Humanities & Social Sciences,Diploma in Psychology Studies,T48,G0A,"Provides a foundational knowledge of human behaviour. It also equips students to apply psychology in professional settings, such as the social services, special needs education and research sectors.",https://www.tp.edu.sg/schools/hss/psychology-studies
2022,School of Humanities & Social Sciences,Diploma in Social Sciences in Gerontology,T53,G0F,"The only diploma in Singapore that seeks to prepare students for rewarding careers in the health, community and social service sectors, to support and empower older adults of different abilities.",https://www.tp.edu.sg/schools/hss/social-sciences-in-gerontology
2022,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,T68,G0E,"Recognised by the Early Childhood Development Agency (ECDA), this course aims to equip students with the practical skillset and necessary knowledge to pursue a career in early childhood.",https://www.tp.edu.sg/schools/hss/early-childhood-development-and-education
2022,School of Informatics & IT,Diploma in Information Technology,T30,C0B,"Gives you a solid foundation in software development, a good understanding of Agile Methodology, DevOps , Cloud Computing,  Artificial Intelligence (AI) and the skills to create applications across multiple platforms for businesses.",https://www.tp.edu.sg/schools/iit/information-technology
2022,School of Informatics & IT,Diploma in Game Design & Development,T58,C0P,"Keen to create your own exciting games with interactive content leveraging on immersive media technologies? Then this course would be right up your alley!

Gain a strong understanding of how to merge the virtual and physical worlds using sound game design and development principles. Create your own game from conception to design, development and deployment. Get the opportunity to learn from and work alongside experts who’ve created augmented reality, virtual reality, and video game titles for industries such as healthcare, hospitality, manufacturing, and education. Our use of industry-leading tools from Unity will also give you a unique advantage. At the same time, earn recognised and valued immersive media and game industry professional certifications while learning with us.

Take your passion for game development to the next level through this exciting and engaging course in  Immersive Media & Game Development.",https://www.tp.edu.sg/schools-and-courses/students/schools/iit/immersive-media-and-game-development.html
2022,School of Informatics & IT,Diploma in Big Data & Analytics,T60,C0S,Equips you with highly sought-after skills to manage big data and to make sense of data by using analytics. In this way you can help businesses and organisations make smarter decisions.,https://www.tp.edu.sg/schools/iit/big-data-and-analytics
2022,School of Informatics & IT,Diploma in Cybersecurity & Digital Forensics,T62,C0R,Trains you to be a cybersecurity professional with the skills to protect organisations against cyber security threats and the ability to investigate cyber crimes.,https://www.tp.edu.sg/schools/iit/cybersecurity-and-digital-forensics
2022,School of Informatics & IT,Common ICT Programme,T63,C0T,"A 1 year programme that provides you an excellent foundation in ICT, giving you time to discover more about our diploma courses before you make your choice of what to pursue in Year 2.",https://www.tp.edu.sg/schools/iit/common-ict-programme
2022,School of Informatics & IT,Diploma in Applied Artificial Intelligence  ,T69,C0U,"Learn to develop chatbots, leverage on natural language processing technologies to translate information from one language to another, undertake object recognition projects that enable you to identify objects such as car plate numbers, and learn to use machine learning and deep learning algorithms to develop creative new solutions for businesses and industry.",https://www.tp.edu.sg/schools/iit/applied-artificial-intelligence
